frame,worker_id,x,y,class
0,1,409.76519775390625,376.81398010253906,person
0,2,469.29075622558594,381.60205078125,person
14,-1,395.9013977050781,377.11631774902344,person
14,-1,302.91400146484375,976.6506042480469,person
28,3,386.9820251464844,373.3433380126953,person
28,2,473.8028564453125,374.1474914550781,person
42,3,379.3583221435547,369.6861114501953,person
56,3,372.14500427246094,372.9339599609375,person
56,2,458.20497131347656,369.5596160888672,person
70,3,368.0814514160156,375.13177490234375,person
70,2,451.43218994140625,365.2109832763672,person
84,3,373.5989074707031,379.0359344482422,person
84,2,446.91748046875,368.6995544433594,person
98,2,444.80743408203125,370.6474151611328,person
98,1,396.3502197265625,377.99964904785156,person
112,-1,615.576416015625,38.10625696182251,person
112,-1,408.18006896972656,392.1110534667969,person
126,-1,614.9268798828125,37.6207389831543,person
126,-1,614.3673400878906,44.26733875274658,person
126,-1,424.9219512939453,381.1209259033203,person
140,-1,482.88475036621094,373.94398498535156,person
140,-1,438.4512634277344,370.6791076660156,person
140,-1,615.7373657226562,46.40763854980469,person
140,-1,343.7236785888672,63.584054946899414,person
140,-1,435.7340850830078,375.14439392089844,person
140,-1,483.57423400878906,374.0093536376953,person
140,-1,208.17893981933594,398.76466369628906,person
140,-1,618.7249755859375,47.49955177307129,person
154,-1,614.1106262207031,54.99497032165527,person
168,-1,500.2422180175781,370.6348419189453,person
168,-1,453.72113037109375,374.88255310058594,person
182,8,507.92437744140625,366.76031494140625,person
196,8,506.1704559326172,366.3934326171875,person
210,10,600.1882629394531,56.45152282714844,person
224,-1,597.5442199707031,56.10715293884277,person
224,-1,454.0072326660156,366.59625244140625,person
238,10,597.0209655761719,55.97122573852539,person
252,10,594.0614929199219,56.45550346374512,person
266,10,591.8645324707031,58.78065490722656,person
266,14,456.0460510253906,378.6669006347656,person
266,8,518.1072082519531,373.0198974609375,person
280,14,455.542236328125,377.9655456542969,person
280,8,522.7839813232422,374.8554382324219,person
294,14,454.820556640625,371.7740783691406,person
294,8,525.3020935058594,374.64013671875,person
308,14,455.48614501953125,369.92506408691406,person
308,8,526.8529815673828,375.11204528808594,person
322,14,454.825439453125,373.07470703125,person
322,8,526.7851409912109,374.85252380371094,person
336,14,454.248291015625,378.1076965332031,person
336,8,526.3380279541016,374.60218811035156,person
350,14,452.8285217285156,377.4971008300781,person
350,8,524.0740814208984,373.78753662109375,person
350,19,592.4259643554688,59.3453369140625,person
364,14,451.4122619628906,377.90911865234375,person
364,8,521.4246368408203,373.74900817871094,person
364,19,591.7236328125,58.66752052307129,person
378,14,450.69358825683594,374.0924987792969,person
378,8,520.5527954101562,373.821533203125,person
392,14,450.3091735839844,374.6186218261719,person
392,8,520.1812133789062,374.7225036621094,person
406,14,448.9346466064453,371.71791076660156,person
406,8,520.6389923095703,373.61505126953125,person
420,14,449.4806823730469,368.10545349121094,person
420,8,520.5900573730469,370.1658935546875,person
434,14,449.7757568359375,367.7977294921875,person
434,8,520.1227874755859,369.1539306640625,person
448,14,450.1171569824219,367.74940490722656,person
448,8,520.0088348388672,368.9791717529297,person
462,14,449.32066345214844,369.213134765625,person
462,8,520.8470306396484,369.31568908691406,person
476,14,448.3319396972656,371.2000274658203,person
476,8,516.653076171875,370.22222900390625,person
476,19,589.5885009765625,49.59456920623779,person
490,14,447.1523895263672,369.7941131591797,person
490,8,506.6308288574219,371.38751220703125,person
504,14,447.55091857910156,368.7187957763672,person
504,8,498.37286376953125,375.1880645751953,person
518,14,446.9741668701172,367.4436492919922,person
518,8,494.9917297363281,373.1415100097656,person
532,14,444.85948181152344,367.2340087890625,person
532,8,492.5304412841797,375.52061462402344,person
546,14,443.23065185546875,368.80235290527344,person
546,8,490.98826599121094,379.02122497558594,person
546,28,597.5004577636719,59.06448554992676,person
560,14,442.7099609375,368.3395690917969,person
560,8,490.4500274658203,376.5286865234375,person
574,14,442.7215118408203,369.3891143798828,person
574,8,489.92527770996094,374.6117248535156,person
588,14,444.18214416503906,370.9866485595703,person
588,8,490.08128356933594,379.07855224609375,person
602,14,445.0159912109375,369.09637451171875,person
602,8,490.91661071777344,377.2946014404297,person
616,14,443.1043701171875,367.3743896484375,person
616,8,490.6403350830078,374.6634979248047,person
616,28,600.1577453613281,60.44190788269043,person
630,14,444.12632751464844,361.4799041748047,person
630,8,490.2864074707031,377.2357482910156,person
644,8,492.0830841064453,373.5132293701172,person
658,-1,467.4458923339844,20.504186630249023,person
658,-1,459.65264892578125,366.7044372558594,person
658,-1,495.6265869140625,373.77923583984375,person
658,-1,311.12693786621094,74.62012672424316,person
658,-1,310.6637268066406,69.54686737060547,person
672,-1,512.3374786376953,31.47999668121338,person
672,-1,468.16737365722656,20.984886169433594,person
672,-1,509.8135681152344,353.30267333984375,person
672,-1,538.974365234375,73.97877883911133,person
686,-1,458.80848693847656,367.6898193359375,person
686,-1,514.8607788085938,46.13677358627319,person
686,-1,468.41168212890625,20.15663981437683,person
686,-1,521.9339141845703,372.6477966308594,person
700,-1,467.710205078125,19.96754789352417,person
714,14,458.0689392089844,362.14271545410156,person
728,14,459.06520080566406,360.48497009277344,person
742,14,459.6483154296875,360.148193359375,person
756,14,460.1270751953125,358.92079162597656,person
756,32,512.4919281005859,47.032447814941406,person
770,14,460.006103515625,366.8754425048828,person
770,32,511.3741149902344,48.142842292785645,person
